id,name,translatedTooltip,translatedHumanName
45,armcir,Medium-Range Anti-Air Missile Battery,Chainsaw
46,armck,Tech 1 Constructor,Construction Bot
47,armckfus,Produces 1050 Energy,Cloakable Fusion Reactor
48,armclaw,Pop-up Lightning Turret,Dragon's Claw
49,armcom,Commander,Armada Commander
50,armcomcon,Commander,Armada Commander
51,armcomlvl10,Defensive specialist that shares experience with turrets,Armada Commander Level 10
52,armcomlvl2,Commander,Armada Commander Level 2
53,armcomlvl3,Defensive specialist that shares experience with turrets,Armada Commander Level 3
54,armcomlvl4,Defensive specialist that shares experience with turrets,Armada Commander Level 4
55,armcomlvl5,Defensive specialist that shares experience with turrets,Armada Commander Level 5
56,armcomlvl6,Defensive specialist that shares experience with turrets,Armada Commander Level 6
57,armcomlvl7,Defensive specialist that shares experience with turrets,Armada Commander Level 7
58,armcomlvl8,Defensive specialist that shares experience with turrets,Armada Commander Level 8
59,armcomlvl9,Defensive specialist that shares experience with turrets,Armada Commander Level 9
60,armconsul,Combat Engineer,Consul
61,armcroc,Heavy Amphibious Tank,Turtle
62,armcrus,Cruiser,Paladin
63,armcs,Tech 1 Constructor,Construction Ship
64,armcsa,Tech 1 Constructor,Construction Seaplane
65,armcv,Tech 1 Constructor,Construction Vehicle
66,armdecade,Fast Assault Corvette,Dolphin
67,armdecom,Decoy Commander,Commander
68,armdecomlvl10,Defensive specialist that shares experience with turrets,Armada Commander Level 10
69,armdecomlvl3,Defensive specialist that shares experience with turrets,Armada Commander Level 3
70,armdecomlvl6,Defensive specialist that shares experience with turrets,Armada Commander Level 6
71,armdf,Does not produce Energy used to confuse the enemy,Decoy Fusion Reactor
72,armdfly,Stealthy Armed Heavy Transport,Abductor
73,armdl,Coastal Torpedo Launcher,Anemone
74,armdrag,Fortification,Dragon's Teeth
75,armdrone,Drone Carrier Spawned Drone,Attack Drone
76,armdronecarry,Drone Carrier,Nexus
77,armdroneold,Drone Carrier Spawned Drone,Attack Drone
78,armemp,EMP Missile Launcher,Paralyzer
79,armepoch,Flagship,Epoch
80,armestor,Increases Energy Storage (6000),Energy Storage
81,armexcalibur,Coastal Assault Submarine,Excalibur
82,armeyes,Perimeter Camera,Beholder
83,armfark,Fast Assist / Repair Bot,Butler
84,armfasp,Automatically Repairs Aircraft,Air Repair Pad
85,armfast,Fast Raider Bot,Sprinter
86,armfatf,Enhanced Radar Targeting,Naval Pinpointer
87,armfav,Light Scout Vehicle,Rover
88,armfboy,Heavy Plasma Bot,Fatboy
89,armfdrag,Naval Fortification,Shark's Teeth
90,armferret,Pop-Up Anti-Air Missile Battery,Ferret
91,armfflak,Anti-Air Flak Gun - Naval Series,Naval Arbalest
92,armfgate,Floating Plasma Deflector,Aurora
93,armfhlt,Floating Heavy Laser Tower,Manta
94,armfhp,Builds Hovercraft,Naval Hovercraft Platform
95,armfido,Mortar / Skirmish Bot,Hound
96,armfig,Fighter,Falcon
97,armflak,Anti-Air Flak Gun,Arbalest
98,armflash,Fast Assault Tank,Blitz
99,armflea,Fast Scout Bot,Tick
100,armfmine3,Heavy Mine Naval Series,Heavy Mine
101,armfmkr,Converts 70 energy into 1 metal per sec,Naval Energy Converter
102,armfort,Advanced Fortification,Fortification Wall
103,armfrad,Early Warning System,Naval Radar / Sonar Tower
104,armfrock,Floating Anti-Air Missile Battery,Scumbag
105,armfrt,Floating Anti-air Tower,Naval Nettle
106,armfus,Produces 1000 Energy,Fusion Reactor
107,armgate,Plasma Deflector,Keeper
108,armgeo,Produces 300 Energy,Geothermal Powerplant
109,armgmm,Safe Geothermal Powerplant produces 750 Energy,Prude
110,armgplat,Light Plasma Defense,Gun Platform
111,armgremlin,Stealth Tank,Gremlin
112,armguard,Area Control Plasma Artillery,Gauntlet
113,armham,Light Plasma Bot,Mace
114,armhawk,Stealth Fighter,Highwind
115,armhlt,Area Control Laser Tower,Overwatch
116,armhp,Builds Hovercraft,Hovercraft Platform
117,armhvytrans,Heavy Transport,Osprey
118,armjam,Radar Jammer Vehicle,Umbra
119,armjamt,Jammer Tower,Sneaky Pete
120,armjanus,Twin Medium Rocket Launcher,Janus
121,armjeth,Amphibious Anti-air Bot,Crossbow
122,armjuno,Anti Radar / Jammer / Minefield / ScoutSpam Weapon,Juno
123,armkam,Light Gunship,Banshee
124,armkraken,Floating Rapid-fire Plasma Tower,Gorgon
125,armlab,Produces Tech 1 Bots,Bot Lab
126,armlance,Torpedo Bomber,Cormorant
127,armlatnk,Lightning Tank,Jaguar
128,armliche,Atomic Bomber,Liche
129,armllt,Light Laser Tower,Sentry
130,armlship,Fast Raider/Skirmisher,Maelstrom
131,armlun,Heavy Hovertank,Lunkhead
132,armmakr,Converts 70 energy into 1 metal per sec,Energy Converter
133,armmanni,Mobile Tachyon Weapon,Starlight
134,armmar,Amphibious Assault Mech,Marauder
135,armmark,Radar Bot,Compass
136,armmart,Mobile Artillery,Mauser
137,armmav,Skirmish Bot. Auto-Repair. Range increases with experience,Gunslinger
138,armmercury,Long Range Anti-Air Tower,Mercury
139,armmerl,Stealthy Rocket Launcher - good vs. static defense,Ambassador
140,armmex,Extracts Metal from Metalspots,Metal Extractor
141,armmh,Hovercraft Rocket Launcher,Possum
142,armmine1,Light Mine,Light Mine
143,armmine2,Medium Mine,Medium Mine
144,armmine3,Heavy Mine,Heavy Mine
145,armmls,Naval Engineer,Voyager
146,armmlv,Stealthy Minelayer / Minesweeper,Groundhog
147,armmmkr,Converts 600 energy into 10.3 metal per sec,Advanced Energy Converter
148,armmoho,Advanced Metal Extractor / Storage,Advanced Metal Extractor
149,armmship,Missile Cruiser,Longbow
150,armmstor,Increases Metal Storage (3000),Metal Storage
151,armnanotc,Assist & Repair in large radius,Construction Turret
152,armnanotc2plat,Assist & Repair in larger radius,Advanced Construction Turret
153,armnanotcplat,Assist & Repair in large radius,Naval Construction Turret
154,armnanotct2,Assist & Repair in larger radius,Advanced Construction Turret
155,armpb,Pop-up Gauss Cannon,Pit Bull
156,armpeep,Scout,Blink
157,armpincer,Light Amphibious Tank,Pincer
158,armplat,Builds Seaplanes,Seaplane Platform
159,armpnix,Strategic Bomber,Blizzard
160,armprowl,Amphibious Assault Mech,Marauder
161,armpship,Assault Frigate,Ellysaw
162,armpt,Stealthy Patrol Boat / Light Anti Air / Sonar,Skater
163,armpw,Fast Infantry Bot,Pawn
164,armrad,Early Warning System,Radar Tower
165,armraz,Battle Mech,Razorback
166,armrecl,Resurrection Sub,Grim Reaper
167,armrectr,Stealthy Rez / Repair / Reclaim Bot,Lazarus
168,armrespawn,Assist & Repair in massive radius.,Base Builder
169,armrl,Light Anti-air Tower,Nettle
170,armrock,Rocket Bot - good vs. static defenses,Rocketeer
171,armroy,Destroyer,Corsair
172,armsaber,Seaplane Gunship,Sabre
173,armsam,Missile Truck,Whistler
174,armsat,Satellite,Satellite
175,armsb,Seaplane Bomber,Tsunami
176,armscab,Mobile Anti-Nuke,Umbrella
177,armsd,Intrusion Countermeasure System - tracks down stealthy units,Tracer
178,armseadragon,Nuclear ICBM Launcher Submarine,Seadragon
179,armseap,Torpedo Gunship,Puffin
180,armseer,Radar Vehicle,Prophet
181,armsehak,Advanced Radar / Sonar Plane,Horizon
182,armserp,Long-Range Battle Submarine,Serpent
183,armsfig,Seaplane Swarmer,Cyclone
184,armsfig2,Heavy AOE Seaplane Fighter,Cyclone
185,armsh,Fast Attack Hovercraft,Seeker
186,armshltx,Produces Experimental Units,Experimental Gantry
187,armshltxuw,Produces Large Amphibious Units,Experimental Gantry
188,armshockwave,Advanced Defensive Metal Extractor and EMP Turret,Shockwave
189,armsilo,Nuclear ICBM Launcher,Armageddon
190,armsjam,Radar Jammer Ship,Bermuda
191,armsnipe,Sniper Bot,Sharpshooter
192,armsolar,Produces 20 Energy,Solar Collector
193,armsonar,Locates Water Units,Sonar Station
194,armspid,All-Terrain EMP and Reclaiming Spider,Webber
195,armsptk,All-Terrain Rocket Spider,Recluse
196,armspy,Radar-Invisible Spy Bot,Ghost
197,armstil,EMP Bomber,Stiletto
198,armstump,Medium Assault Tank,Stout
199,armsub,Submarine,Eel
200,armsubk,Fast Assault Submarine,Barracuda
201,armsy,Produces Tech 1 Ships,Shipyard
202,armtarg,Enhanced Radar Targeting more facilities enhance accuracy,Pinpointer
203,armtdrone,Depth Charge Drone,Depth Charge Drone
204,armthor,Experimental Terminator Tank,Thor
205,armthovr,Heavy Transport Hovercraft,Bearer
206,armthund,Bomber,Stormbringer
207,armtide,Produces Energy (depends on map),Tidal Generator
208,armtl,Offshore Torpedo Launcher,Harpoon
209,armtorps,Torpedo Ship,Torpedo Ship
210,armtrident,Depth Charge Drone Carrier,Trident
211,armtship,Armored Transport Ship,Convoy
212,armuwadves,Increases Energy Storage (40000),Hardened Energy Storage
213,armuwadvms,Increases Metal Storage (10000),Hardened Metal Storage
214,armuwageo,Produces 1250 Energy (Hazardous),Advanced Geothermal Powerplant
215,armuwes,Increases Energy Storage (6000),Naval Energy Storage
216,armuwfus,Produces 1200 Energy,Naval Fusion Reactor
217,armuwgeo,Produces 300 Energy,Geothermal Powerplant
218,armuwmme,Advanced Metal Extractor / Storage,Naval Advanced Metal Extractor
219,armuwmmm,Converts 600 energy into 10.3 metal per sec,Naval Advanced Energy Converter
220,armuwms,Increases Metal Storage (3000),Naval Metal Storage
221,armvader,Amphibious Rolling Bomb,Tumbleweed
222,armvang,All-Terrain Heavy Plasma Cannon,Vanguard
223,armveil,Long-Range Jamming Tower,Veil
224,armvp,Produces Tech 1 Vehicles,Vehicle Plant
225,armvulc,Rapid-Fire Long-Range Plasma Cannon,Ragnarok
226,armwar,Anti-Swarm Bot,Centurion
227,armwin,Produces Energy. Depends on wind strength.,Wind Turbine
228,armyork,Anti-Air Flak Vehicle,Shredder
229,armzeus,Assault Bot,Welder
230,chip,Chip,Chip
231,comeffigylvl1,Transposes with Commander upon death; build one only,Commander Effigy
232,comeffigylvl2,Transposes with Commander upon death; build one only,Commander Effigy
233,comeffigylvl3,Transposes with Commander upon death; build one only,Commander Effigy
234,comeffigylvl4,Transposes with Commander upon death; build one only,Commander Effigy
235,comeffigylvl5,Transposes with Commander upon death; build one only,Commander Effigy
236,cor_hat_fightnight,The legendary Fight Night Trophy,#1 Grunt
237,cor_hat_hornet,A weathered yet dapper tricorn,Hornet's Tricorn
238,cor_hat_hw,Spooky Fight Night Trophy,Spooky Pumpkin
239,cor_hat_legfn,The Legendary Legion Fight Night Trophy,#1 Goblin
240,cor_hat_ptaq,The finest bonnet in all of Gnomedom,PtaQ's Hat
241,cor_hat_viking,A fierce Viking helmet,Viking Helmet
242,coraak,Heavy Amphibious Anti-Air Bot,Manticore
243,coraap,Produces Tech 2 Aircraft,Advanced Aircraft Plant
244,coraca,Tech 2 Constructor,Advanced Construction Aircraft
245,corack,Tech 2 Constructor,Advanced Construction Bot
246,coracsub,Tech 2 Constructor,Advanced Construction Sub
247,coracv,Tech 2 Constructor,Advanced Construction Vehicle
248,coradvsol,Produces 75 Energy,Advanced Solar Collector
249,corafus,Produces 3000 Energy (Hazardous),Advanced Fusion Reactor
250,corageo,Produces 1250 Energy (Hazardous),Advanced Geothermal Powerplant
251,corah,Anti-Air Hovercraft,Birdeater
252,corak,Fast Infantry Bot,Grunt
253,coralab,Produces Tech 2 Bots,Advanced Bot Lab
254,coramph,Amphibious Bot,Duck
255,coramsub,Produces Amphibious / Underwater Units,Amphibious Complex
256,corantiship,Mobile Anti-Nuke Generator and Radar/Sonar,Oasis
257,corap,Produces Tech 1 Aircraft,Aircraft Plant
258,corape,Gunship,Wasp
259,corarad,Long-Range Radar,Advanced Radar Tower
260,corarch,Anti-Air Ship,Arrow Storm
261,corason,Extended Sonar,Advanced Sonar Station
262,corasp,Automatically Repairs Aircraft,Air Repair Pad
263,corassistdrone,Portable Buildpower,Assist Drone
264,corassistdrone_land,Portable Buildpower,Assist Vehicle
265,corasy,Produces Tech 2 Ships,Advanced Shipyard
266,coratl,Advanced Torpedo Launcher,Lamprey
267,coravp,Produces Tech 2 Vehicles,Advanced Vehicle Plant
268,corawac,Radar / Sonar Plane,Condor
269,corban,Heavy Missile Tank,Banisher
270,corbats,Battleship,Despot
271,corbhmth,Geothermal Plasma Battery,Cerberus
272,corblackhy,Flagship,Black Hydra
273,corbuzz,Rapid-Fire Long-Range Plasma Cannon,Calamity
274,corbw,Light Paralyzer Drone,Shuriken
275,corca,Tech 1 Constructor,Construction Aircraft
276,corcan,Armored Assault Bot,Sumo
277,corcarry,Aircraft Carrier with Anti-Nuke,Oasis
278,corcat,Heavy Rocket Bot,Catapult
279,corch,Tech 1 Constructor,Construction Hovercraft
280,corck,Tech 1 Constructor,Construction Bot
281,corcom,Commander,Cortex Commander
282,corcomcon,Commander,Cortex Commander
283,corcomlvl10,Specialized in frontline warfare,Cortex Commander Level 10
284,corcomlvl2,Commander,Cortex Commander Level 2
285,corcomlvl3,Specialized in frontline warfare,Cortex Commander Level 3
286,corcomlvl4,Specialized in frontline warfare,Cortex Commander Level 4
287,corcomlvl5,Specialized in frontline warfare,Cortex Commander Level 5
288,corcomlvl6,Specialized in frontline warfare,Cortex Commander Level 6
289,corcomlvl7,Specialized in frontline warfare,Cortex Commander Level 7
290,corcomlvl8,Specialized in frontline warfare,Cortex Commander Level 8
291,corcomlvl9,Specialized in frontline warfare,Cortex Commander Level 9
292,corcrash,Amphibious Anti-air Bot,Trasher
293,corcrus,Cruiser,Buccaneer
294,corcrwh,Flying Fortress,Dragon
295,corcs,Tech 1 Constructor,Construction Ship
296,corcsa,Tech 1 Constructor,Construction Seaplane
297,corcut,Seaplane Gunship,Cutlass
298,corcv,Tech 1 Constructor,Construction Vehicle
299,cordecom,Decoy Commander,Commander
300,cordecomlvl10,Specialized in frontline warfare,Cortex Commander Level 10
301,cordecomlvl3,Specialized in frontline warfare,Cortex Commander Level 3
302,cordecomlvl6,Specialized in frontline warfare,Cortex Commander Level 6
303,cordemon,Flamethrower Mech,Demon
304,cordesolator,Nuclear ICBM Launcher Submarine,Desolator
305,cordl,Coastal Torpedo Launcher,Jellyfish
306,cordoom,Energy Weapon,Bulwark
307,cordrag,Fortification,Dragon's Teeth
308,cordrone,Drone Carrier Spawned Drone,Attack Drone
309,cordronecarry,Drone Carrier,Disperser
310,cordroneold,Drone Carrier Spawned Drone,Attack Drone
311,corenaa,Anti-Air Flak Gun - Naval Series,Naval Birdshot
312,corerad,Medium-Range Anti-Air Missile Battery,Eradicator
313,corestor,Increases Energy Storage (6000),Energy Storage
314,coresupp,Light Gun Boat,Supporter
315,coreter,Radar Jammer Vehicle,Obscurer
316,corexp,Armed Metal Extractor,Exploiter
317,coreyes,Perimeter Camera,Beholder
318,corfasp,Automatically Repairs Aircraft,Air Repair Pad
319,corfast,Combat Engineer,Twitcher
320,corfatf,Enhanced Radar Targeting,Naval Pinpointer
321,corfav,Light Scout Vehicle,Rascal
322,corfdoom,Floating Multi-Weapon Platform,Devastator
323,corfdrag,Naval Fortification,Shark's Teeth
324,corfgate,Floating Plasma Deflector,Atoll
325,corfhlt,Floating Heavy Laser Tower,Coral
326,corfhp,Builds Hovercraft,Naval Hovercraft Platform
327,corfink,Scout,Finch
328,corflak,Anti-Air Flak Gun,Birdshot
329,corfmd,Anti-Nuke System,Prevailer
330,corfmine3,Heavy Mine Naval Series,Heavy Mine
331,corfmkr,Converts 70 energy into 1 metal per sec,Naval Energy Converter
332,corfort,Advanced Fortification,Fortification Wall
333,corfrad,Early Warning System,Naval Radar / Sonar Tower
334,corfrock,Floating Anti-Air Missile Battery,Janitor
335,corfrt,Floating Anti-air Tower,Slingshot
336,corfship,Anti-Swarm Ship,Brimstone
337,corfus,Produces 1100 Energy,Fusion Reactor
338,corgant,Produces Experimental Units,Experimental Gantry
339,corgantuw,Produces Large Amphibious Units,Experimental Gantry
340,corgarp,Light Amphibious Tank,Garpike
341,corgate,Plasma Deflector,Overseer
342,corgator,Light Tank,Incisor
343,corgeo,Produces 300 Energy,Geothermal Powerplant
344,corgol,Very Heavy Assault Tank,Tzar
345,corgplat,Light Plasma Defense,Gun Platform
346,corhal,Assault Hovertank,Halberd
347,corhllt,Anti-Swarm Double Guard,Twin Guard
348,corhlt,Area Control Laser Tower,Warden
349,corhp,Builds Hovercraft,Hovercraft Platform
350,corhrk,Heavy Rocket Bot,Arbiter
351,corhunt,Advanced Radar / Sonar Plane,Watcher
352,corhurc,Heavy Strategic Bomber,Hailstorm
353,corhvytrans,Heavy Transport,Hephaestus
354,corint,Long Range Plasma Cannon,Basilisk
355,corintr,Amphibious Heavy Assault Transport,Intruder
356,corjamt,Short-Range Jamming Device,Castro
357,corjugg,(barely) Mobile Heavy Turret,Behemoth
358,corjuno,Anti Radar / Jammer / Minefield / ScoutSpam Weapon,Juno
359,corkarg,All-Terrain Assault Mech,Karganeth
360,corkorg,Experimental Assault Bot,Juggernaut
361,corlab,Produces Tech 1 Bots,Bot Lab
362,corlevlr,Anti-Swarm Tank,Pounder
363,corllt,Light Laser Tower,Guard
364,cormabm,Mobile Anti-Nuke,Saviour
365,cormadsam,Hardened Anti-Air Missile Battery,SAM
366,cormakr,Converts 70 energy into 1 metal per sec,Energy Converter
367,cormando,Stealthy Paratrooper Bot,Commando
368,cormart,Mobile Artillery,Quaker
369,cormaw,Pop-up Flamethrower Turret,Dragon's Maw
370,cormex,Extracts Metal from Metalspots,Metal Extractor
371,cormexp,Armed Advanced Metal Extractor,Advanced Exploiter
372,cormh,Hovercraft Rocket Launcher,Mangonel
373,cormine1,Light Mine,Light Mine
374,cormine2,Medium Mine,Medium Mine
375,cormine3,Heavy Mine,Heavy Mine
376,cormine4,Medium Mine,Medium Mine
377,cormist,Missile Truck,Lasher
378,cormls,Naval Engineer,Pathfinder
379,cormlv,Stealthy Minelayer / Minesweeper,Trapper
380,cormmkr,Converts 600 energy into 10.3 metal per sec,Advanced Energy Converter
381,cormoho,Advanced Metal Extractor / Storage,Advanced Metal Extractor
382,cormort,Mobile Mortar Bot,Sheldon
383,cormship,Cruise Missile Ship,Messenger
384,cormstor,Increases Metal Storage (3000),Metal Storage
385,cormuskrat,Amphibious Construction Vehicle,Muskrat
386,cornanotc,Assist & Repair in large radius,Construction Turret
387,cornanotc2plat,Assist & Repair in larger radius,Advanced Construction Turret
388,cornanotcplat,Assist & Repair in large radius,Naval Construction Turret
389,cornanotct2,Assist & Repair in larger radius,Advanced Construction Turret
390,cornecro,Stealthy Rez / Reclaim / Repair Bot,Graverobber
391,coronager,Coastal Assault Submarine,Onager
392,corparrow,Very Heavy Amphibious Tank,Poison Arrow
393,corphantom,Amphibious Stealth Scout,Phantom
394,corplat,Builds Seaplanes,Seaplane Platform
395,corprinter,Armored Field Engineer,Printer
396,corpship,Assault Frigate,Riptide
397,corpt,Missile Corvette / Light Anti Air / Sonar,Herring
398,corpun,Area Control Plasma Artillery,Agitator
399,corpyro,Fast Assault Bot,Fiend
400,corrad,Early Warning System,Radar Tower
401,corraid,Medium Assault Tank,Brute
402,correap,Heavy Assault Tank,Tiger
403,correcl,Resurrection Sub,Death Cavalry
404,correspawn,Assist & Repair in massive radius.,Base Builder
405,corrl,Light Anti-air Tower,Thistle
406,corroach,Amphibious Crawling Bomb,Bedbug
407,corroy,Destroyer,Oppressor
408,corsala,Medium Heat Ray Amphibious Tank,Salamander
409,corsat,Satellite,Satellite
410,corsb,Seaplane Bomber,Dam Buster
411,corscreamer,Long Range Anti-Air Tower,Screamer
412,corsd,Intrusion Countermeasure System,Nemesis
413,corseah,Heavy Assault Transport,Skyhook
414,corseal,Medium Amphibious Tank,Alligator
415,corseap,Torpedo Gunship,Monsoon
416,corsent,Anti-Air Flak Vehicle,Fury
417,corsentinel,Depth Charge Drone Carrier,Sentinel
418,corsfig,Seaplane Swarmer,Bat
419,corsfig2,Heavy AOE Seaplane Fighter,Bat
420,corsh,Fast Attack Hovercraft,Goon
421,corshad,Bomber,Whirlwind
422,corshark,Fast Assault Submarine,Predator
423,corshiva,Amphibious Siege Mech,Shiva
424,corshroud,Long-Range Jamming Tower,Shroud
425,corsiegebreaker,Heavy Long Range Destroyer,Siegebreaker
426,corsilo,Nuclear ICBM Launcher,Apocalypse
427,corsjam,Radar Jammer Ship,Phantasm
428,corsktl,Advanced Amphibious Crawling Bomb,Skuttle
429,corsnap,Hovertank,Cayman
430,corsok,Heavy Laser Hovertank,Cataphract
431,corsolar,Produces 20 Energy,Solar Collector
432,corsonar,Locates Water Units,Sonar Station
433,corspec,Radar Jammer Bot,Deceiver
434,corspy,Radar-Invisible Spy Bot,Spectre
435,corssub,Long-Range Battle Submarine,Kraken
436,corstorm,Rocket Bot - good vs. static defenses,Aggravator
437,corsub,Submarine,Orca
438,corsumo,Heavily Armored Assault Bot,Mammoth
439,corsy,Produces Tech 1 Ships,Shipyard
440,cortarg,Enhanced Radar Targeting more facilities enhance accuracy,Pinpointer
441,cortdrone,Drops Depth Charges,Depth Charge Drone
442,cortermite,Heavy All-terrain Assault Spider,Termite
443,corthovr,Heavy Transport Hovercraft,Caravan
444,corthud,Light Plasma Bot,Thug
445,cortide,Produces Energy (depends on map),Tidal Generator
446,cortitan,Torpedo Bomber,Angler
447,cortl,Offshore Torpedo Launcher,Urchin
448,cortoast,Pop-up Plasma Artillery,Persecutor
449,cortrem,Heavy Artillery Vehicle,Tremor
450,cortron,Tactical Missile Launcher,Catalyst
451,cortship,Armored Transport Ship,Coffin
452,coruwadves,Increases Energy Storage (40000),Hardened Energy Storage
453,coruwadvms,Increases Metal Storage (10000),Hardened Metal Storage
454,coruwageo,Produces 1250 Energy (Hazardous),Advanced Geothermal Powerplant
455,coruwes,Increases Energy Storage (6000),Naval Energy Storage
456,coruwfus,Produces 1220 Energy,Naval Fusion Reactor
457,coruwgeo,Produces 300 Energy,Geothermal Powerplant
458,coruwmme,Advanced Metal Extractor / Storage,Naval Advanced Metal Extractor
459,coruwmmm,Converts 600 energy into 10.3 metal per sec,Naval Advanced Energy Converter
460,coruwms,Increases Metal Storage (3000),Naval Metal Storage
461,corvac,Armored Field Engineer. 200 BP and +25 E. Can repair/reclaim while moving,Printer
462,corvacct,units.descriptions.corvacct,units.names.corvacct
463,corvalk,Light Air Transport,Hercules
464,corvamp,Stealth Fighter,Nighthawk
465,corveng,Fighter,Valiant
466,corvipe,Pop-up Sabot Battery,Scorpion
467,corvoyr,Radar Bot,Augur
468,corvp,Produces Tech 1 Vehicles,Vehicle Plant
469,corvrad,Radar Vehicle,Omen
470,corvroc,Stealthy Rocket Launcher - good vs. static defense,Negotiator
471,corwin,Produces Energy. Depends on wind strength.,Wind Turbine
472,corwolv,Light Mobile Artillery,Wolverine
473,critter_ant,Chaos!,Ant
474,critter_crab,Pinch pinch!,Crab
475,critter_duck,Quack Quack!,Duck
476,critter_goldfish,Shiny!,Goldfish
477,critter_gull,I'm so fly!,Seagull
478,critter_penguin,So cool!,Penguin
479,critter_penguinbro,So cool!,Penguin Bro
480,critter_penguinking,So cool!,Penguin King
481,dbg_sphere,debug sphere,dbg_sphere
482,dbg_sphere_fullmetal,debug sphere,dbg_sphere
483,dice,Dice,Dice
484,dummycom,Picks a Random out of the available options,Random
485,freefusion,Produces plenty of energy,Free Fusion Reactor
486,legassistdrone,Portable Buildpower,Assist Drone
487,legassistdrone_land,Portable Buildpower,Assist Vehicle
488,legnanotcbase,Assist & Repair in massive radius,Base Builder
489,lootboxbronze,Capture & Transport,Bronze Resource Generator
490,lootboxgold,Capture & Transport,Gold Resource Generator
491,lootboxnano_t1_var1,Portable Factory. Capture & Transport,Bronze Unit Printer
492,lootboxnano_t1_var2,Portable Factory. Capture & Transport,Bronze Unit Printer
493,lootboxnano_t1_var3,Portable Factory. Capture & Transport,Bronze Unit Printer
494,lootboxnano_t1_var4,Portable Factory. Capture & Transport,Bronze Unit Printer
495,lootboxnano_t1_var5,Portable Factory. Capture & Transport,Bronze Unit Printer
496,lootboxnano_t1_var6,Portable Factory. Capture & Transport,Bronze Unit Printer
497,lootboxnano_t1_var7,Portable Factory. Capture & Transport,Bronze Unit Printer
498,lootboxnano_t1_var8,Portable Factory. Capture & Transport,Bronze Unit Printer
499,lootboxnano_t1_var9,Portable Factory. Capture & Transport,Bronze Unit Printer
500,lootboxnano_t2_var1,Portable Factory. Capture & Transport,Silver Unit Printer
501,lootboxnano_t2_var2,Portable Factory. Capture & Transport,Silver Unit Printer
502,lootboxnano_t2_var3,Portable Factory. Capture & Transport,Silver Unit Printer
503,lootboxnano_t2_var4,Portable Factory. Capture & Transport,Silver Unit Printer
504,lootboxnano_t2_var5,Portable Factory. Capture & Transport,Silver Unit Printer
505,lootboxnano_t2_var6,Portable Factory. Capture & Transport,Silver Unit Printer
506,lootboxnano_t2_var7,Portable Factory. Capture & Transport,Silver Unit Printer
507,lootboxnano_t2_var8,Portable Factory. Capture & Transport,Silver Unit Printer
508,lootboxnano_t2_var9,Portable Factory. Capture & Transport,Silver Unit Printer
509,lootboxnano_t3_var1,Portable Factory. Capture & Transport,Gold Unit Printer
510,lootboxnano_t3_var2,Portable Factory. Capture & Transport,Gold Unit Printer
511,lootboxnano_t3_var3,Portable Factory. Capture & Transport,Gold Unit Printer
512,lootboxnano_t3_var4,Portable Factory. Capture & Transport,Gold Unit Printer
513,lootboxnano_t3_var5,Portable Factory. Capture & Transport,Gold Unit Printer
